,Mean C1,Mean C2,Mean C3,Mean C4
251,6.474851672755972e-09,2.533447898423055e-08,1.9352222222222223e-13,1.9358472222222213e-13
252,5.4624096261099995e-08,-7.849952450748335e-10,1.9086111111111119e-13,1.908472222222222e-13
253,1.5808326290113893e-08,-8.1447827363925e-09,1.9538333333333336e-13,1.954041666666667e-13
254,4.269347214998195e-09,-2.2622969760847226e-08,1.9422222222222224e-13,1.942263888888889e-13
255,-5.109555958819026e-09,1.898096156975e-08,2.0026944444444447e-13,2.003472222222222e-13
256,-3.615715761970694e-09,1.8728394447608335e-08,2.0061250000000002e-13,2.0062499999999994e-13
257,-2.3869326230955545e-08,8.288659984668472e-09,2.0779305555555556e-13,2.0786111111111106e-13
258,5.970637512646389e-09,5.090710783679167e-09,2.0984583333333336e-13,2.0989027777777787e-13
259,1.0162790649127774e-08,2.938657251649028e-10,2.179555555555556e-13,2.1800972222222225e-13
260,1.9076732525769444e-08,-2.0227049705027777e-08,2.2143750000000003e-13,2.2150694444444446e-13
261,-1.599903401598472e-09,8.057397054978195e-09,2.30673611111111e-13,2.3075972222222225e-13
262,-1.4136642685919447e-09,1.1284832703515275e-08,2.3577916666666667e-13,2.3583611111111115e-13
263,-2.5389840078470836e-08,2.399654111999861e-09,2.4602499999999995e-13,2.4611388888888883e-13
264,-1.6663707609047215e-09,-3.7574226156611115e-09,2.5269305555555553e-13,2.5277777777777775e-13
265,1.138995482411944e-08,-5.174876417210696e-09,2.641777777777779e-13,2.6424861111111116e-13
266,1.9739823576780556e-09,-7.3053058599105574e-09,2.725722222222223e-13,2.7265e-13
267,-6.406170812636112e-09,5.089100124207918e-09,2.8530277777777775e-13,2.8542083333333327e-13
268,-8.085130204639718e-09,3.302448398583472e-10,2.9553055555555564e-13,2.956152777777778e-13
269,-2.5510511983969444e-09,1.0717905818252774e-08,3.09798611111111e-13,3.0986666666666673e-13
270,4.93083608594458e-09,5.127311648662917e-10,3.2194722222222226e-13,3.21975e-13
271,5.186274315942362e-09,2.183848048009861e-09,3.378791666666667e-13,3.3796527777777783e-13
272,6.246366719156247e-09,-4.5915352180305585e-09,3.521291666666666e-13,3.522166666666667e-13
273,-4.340588086452361e-09,-4.701990778597362e-09,3.7005138888888887e-13,3.701333333333334e-13
274,6.6605430849995825e-09,-7.628701626773058e-09,3.866333333333334e-13,3.867069444444444e-13
275,-1.6475172504668054e-09,3.730967464596669e-09,4.0674444444444446e-13,4.0680138888888884e-13
276,7.109782094705695e-09,1.4250841097855558e-09,4.259694444444443e-13,4.260472222222221e-13
277,1.8319938813538894e-09,9.164127430935552e-10,4.4871527777777804e-13,4.487180555555554e-13
278,1.5167871859276393e-09,-1.2599897240601392e-09,4.708291666666668e-13,4.708583333333335e-13
